bailar,to dance
buscar,to look for/search
caminar,to walk
cantar,to sing
comprar,to buy
contestar,to answer
conversar,to talk/to chat
descansar,to rest
desear,to want/to wish
dibujar,to draw
ense¤ar,to teach
escuchar,to listen
esperar,to wait (for)/ to hope
estar,to be
estudiar,to study
explicar,to explain
gustar*,to like
hablar,to speak
llegar,to arrive
llevar,to carry
mirar,to look (at)
necesitar,to need
practicar,to pracitce
preguntar,to ask (a question)
preparar,to prepare
regresar,to return
terminar,to end/finish
tomar,to take/drink
trabajar,to work
viajar,to travel
