die Adresse,address
die E-mail-Adresse,email
das Café,cafe
das Getränk,drink
der Kaffee,coffee
die Kasse,cash register
der Lehrer,teacher
die Lehrerin,teacher
die Milch,milk
das Mineralwasser,mineral water
die Nummer,number
die Postleitzahl,postal code
der Student,university student
die Studentin,university student
die Stunde,hour
der Saft,juice
der Tee,tea
das Telefon,telephone
die Telefonnummer,telephone number
die Vorwahl,area code
das Wasser,water
das Wochenende,weekend
das Wort,word
der Zucker,sugar
