die Badewanne,bathtub,,,
der Balkon,balcony,,,
die Dusche,shower,,,
die Garage,parking garage,,,
der Garten,garden,,,
der/die Hausmeister,"caretaker, janitor",,,
der Hof,court,,,
die Kaution,deposit,,,
der Keller,celler,,,
die Küche,kitchen,,,
der Lärm,noise,,,
die Miete,rent,,,
die Möbel,furniture,,,
der Müll,waste,,,
die Mülltonne,trashcan,,,
die Nebenkosten,utility payments,,,
der Parkplatz,parking space,,,
die Ruhe,silence,,,
der Schlüssel,key,,,
der Spielplatz ,playground,,,
der Strom ,electricity,,,
die Toilette,toilet,,,
die Treppe ,stair case,,,
der Umzug ,move,,,
der/die Vermieter/in,landlord,,,
das WC,water closet(bathroom),,,
das Wohnzimmer,living room,,,
