el borrador,eraser
la clase,class
el/la compa¤ero/a de clase,classmate
el escritorio,desk
el/la estudiante,student
el libro,book
el mapa,map
la mesa,table
el papel,paper
la pizarra,blackboard
la pluma,pen
el/la profesor(a),profesor
la puerta,door
el reloj,clock/watch
la silla,chair
la tiza,chalk
la ventana,window
la biblioteca,library
la cafeter¡a,cafeter¡a
el estadio,stadium
el laboratorio,laboratory
la librer¡a,bookstore
la residencia estudiantil,dormitory
la universidad,university
el curso,course
el examen,test/exam
el horario,Schedule
la prueba,test/quiz
el semestre,semester
la tarea,homework
el trimestre,trimester/quarter
