cerrar (e:ie),to close
comenzar (e:ie),to begin
conseguir(e:ie),"to get, to obtain"
dormir (o:ue),to sleep
empezar (e:ie),to understand
hacer,to do/to make
ir *,to go
ir a (+ inf),to go do something
jugar (u:ue),to play
mostrar(o:ue),to show
o¡r,to hear
pedir (e:i),to ask for/to request
pensar (e:ie),to think
pensar (+inf),to think/ to plan
pensar en,to think about
perder (e:ie),to lose/to miss
poder (o:ue),to be able to/ can
poner,to put/ to place
preferir (e:ie),to prefer
querer (e:ie),to want/ to love
recordar (o:ue),to remember
repetir (e:i),to repeat
salir,to leave
seguir (e:i),to follow/continue/to keep (doing something)
suponer,to suppose
traer,to bring
ver,to see
