acordarse (de) (o:ue),to remember
acostarse (o:ue),to lie down; to go to bed
afeitarse,to shave
ba¤arse,to bathe/to take a bath
cepillarse el pelo,to brush one?s hair
cepillarse los dientes,to brush one?s teeth
despedirse (de) (e:i),to say goodbye (to)
despertarse (e:ie),to wake up
dormirse (o:ue),to go to sleep/ to fall asleep
ducharse,to shower / to take a shower
enojarse (con),to get angry (with)
irse,to go away; to leave
lavarse la cara,to wash one?s face
lavarse las manos,to wash one?s hands
levantarse,to get up
llamarse,to be called ; to be named
maquillarse,to put on makeup
peinarse,to comb one?s hair
ponerse,to put on
ponerse + [adj.],to become + [adj.]
preocuparse (por),to worry (about)
probarse (o:ue),to try on
quedarse,to stay; to remain
quitarse,to take off
sentarse (e:ie),to sit down
sentirse (e:ie),to feel
vestirse (e:i),to get dressed
